S.No,College Code,College Name,Address
86,1415,T.S.M.Jain College of Technology,Melur Kallakurichi Taluk Villupuram District-606201
87,1416,Jaya Sakthi Engineering College,St.Mary's Nagar Thiruninravur (Near Avadi) Thiruvallur Chennai-602024
88,1419,Sri Sai Ram Engineering College (Autonomous),Sai Leo Nagar Poonthandalam Village Dharkast Post West Tambram Kanchipuram Chennai-600044
89,1420,Tagore Engineering College,Rathinamangalam Vandalur Kanchipuram Chennai-600127
90,1421,V.R.S. College of Engineering and Technology,Arasur & Post Ulundurpet Taluk Villupuram District-607107
91,1422,SRM Valliammai Engineering College (Autonomous),S.R.M. Nagar Kattankulathur Chengalpattu Kancheepuram Chennai-603203
92,1423,Asan Memorial College of Engineering and Technology,Asan Nagar 9th kilometer Chengalpattu-Mahabalipuram Highway Post Box No.6 Chengalpattu-603001
93,1424,Dhaanish Ahmed College of Engineering,Dhaanish Nagar Vanchuvancherry Padappai (Near Tambaram) Sriperumbudur Taluk Kancheepuram District-601301
94,1426,Sri Ramanujar Engineering College,Vandalur Kolapakkam Kanchipuram Chennai-600127
95,1427,Sri Krishna Engineering College,Panapakkam Near Padappai Via Tambaram Kanchipuram Chennai-601301
96,1428,E.S.College of Engineering and Technology,Chennai Trunk Road Ayyankoilpattu Villupuram-605602
97,1430,Maha Barathi Engineering College,A. Vasudevanur (post) Chinnasalem Kallakurichi (Taluk) Villupuram-606201
98,1431,New Prince Shri Bhavani College of Engineering and Technology (Autonomous),Vengaivasal Main Road Gowrivakkam Chennai-600073
99,1432,Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road Kuthambakkam Chennai-600124
100,1434,Surya Group of Institutions,NH-45 GST Road Vikiravandi Villupuram-605652
101,1436,A.R.Engineering College,Vadakuchipalayam Kappiyampuliyur post Villupuram-605601
102,1437,Rrase College of Engineering,Vanjuvancherry Padappai Sriperumbadur Kancheepuram-601301
103,1438,Sree Krishna College of Engineering,Anaicut Post Unnai Village Vellore-632101
104,1441,A.K.T.Memorial College of Engineering and Technology,Neelamangalam (Post) Kallakurichi Taluk Villupuram District-606202
105,1442,Prince Dr. K. Vasudevan College of Engineering and Technology,Medavakkam-Mambakkam Road Ponmar Chennai-600127
106,1444,R.M.Engineering College,Zamin Endathur Village Madurantakam Kanchipuram-603311
107,1445,Sri Rangapoopathi College of Engineering,Alampoondi Village & Post Gingee Taluk Villupuram District-604151
108,1449,Saraswathy College of Engineering and Technology,NH-45 Main Road Olakkur Tindivanam Villupuram-604307
109,1450,Loyola-ICAM College of Engineering and Technology,Loyola College Campus Chennai-600034
110,1452,PERI Institute of Technology (Autonomous),Mannivakkam Tambaram Kancheepuram Chennai-600048
111,1501,Adhiparasakthi College of Engineering,G.B.Nagar Kalavai Arcot Taluk Vellore District-632506
112,1503,Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village Namandi Post (Near Kanchipuram) Tiruvanamalai-604410
113,1504,Arunai Engineering College,Chittor-Cuddalore Road Mathur Tiruvannamalai-606603
114,1505,C.Abdul Hakeem College of Engineering and Technology,Hakeem Nagar Melvisharam Vellore-632509
115,1507,Ganadipathy Tulsi's Jain Engineering College,Chittoor-Cuddalore Road Kaniyambadi Vellore-632102
116,1509,Meenakshi College of Engineering,12 Vembuli Amman Koil Street West K K Nagar Chennai-600078
117,1510,Priyadarshini Engineering College,Chettiyappanur Village & Post Vaniyambadi Vellore-635751
118,1511,RANIPPETTAI ENGINEERING COLLEGE,THENKADAPPANTHANGAL VELLORE DISTRICT 632515
119,1512,S.K.P. Engineering College,Chinnkangiyanur Somasipadi Post Tiruvannamalai District-606611
120,1513,Sri Balaji Chockalingam Engineering College,Irumbedu Arni Taluk Tiruvannamalai District-632317
121,1516,Thanthai Periyar Government Institute of Technology,Bagayam Vellore District 632002
122,1517,Thirumalai Engineering College,Kilambi Krishnapuram Post Kanchipuram-631551
123,1518,Thiruvalluvar College of Engineering and Technology,Arunachala City Ponnur Hills Vandavasi Thiruvannamalai District-604505
124,1519,Bharathidasan Engineering College,K.Bandarapalli Post Nattrampalli Vellore District-635854
125,1520,Kingston Engineering College,Chittoor Main Road Chiristianpet Village Mettukulam Panchayat Katpadi Taluk Vellore District-632059
126,1523,Global Institute of Engineering and Technology,257/1 Bangalore-Chennai Highway Melvisharam Vellore-632509
127,1524,Annamalaiar College Of Engineering,Chetpet-Polur Road Polur Taluk Thiruvannamalai District-606902
128,1525,Podhigai College of Engineering and Technology,Salem Main Road Adiyur Post Tirupattur Taluk Tirupattur Vellore District-635601
129,1526,Sri Krishna College of Engineering,T.R.S. Campus Sri Krishna Nagar Tiruttani Road Arakkonam Vellore-631003
130,1529,Oxford College of Engineering,Venmani Village Karaipoondi Post Polur Tiruvannamalai-606803
131,1605,Idhaya Engineering College for Women,Nainarpalayam Road Chinna Salem Villupuram District-606201
132,2005,Government College of Technology (Autonomous),Thadagam Road Coimbatore District 641013
133,2006,PSG College of Technology (Autonomous),Peelamedu Coimbatore District 641004
134,2007,Coimbatore Institute of Technology (Autonomous),Civil Aerodrome Post Coimbatore District 641014
135,2025,Anna University Regional Campus - Coimbatore,Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046
136,2302,Sri Shanmugha College of Engineering and Technology (Autonomous),Pullipalayam Morur(PO) Sankari Taluk Salem District-637304
137,2327,N.S.N. College of Engineering and Technology,N.S.N Kalvi Nagar Karur-Madurai NH-7 Manalmedu Karur-639003
138,2329,Rathinam Technical Campus (Autonomous),Rathinam Techzone Campus Pollachi Road Eachanari Coimbatore-641021
139,2332,Aishwarya College of Engineering and Technology,Errattaikarad Paruvachi (Post) Anthiyur Bhavani (Taluk) Erode District-638312
140,2338,Asian College of Engineering and Technology,294/2 Asian College Road Kondayampalayam Near Saravanampatti Coimbatore-641110
141,2341,Ganesh College of Engineering,Attur Main Road Mettupatti Salem-636111
142,2342,Sri Ranganathar Institute of Engineering and Technology (Autonomous),S.F No:162 Athipalayam village Thudiyalur-kovilpalayam Road Coimbatore-641110
143,2343,Indian Institute of Handloom Technology,Foulke's Compound Thillai Nagar Salem District 636001
144,2345,Dhirajlal Gandhi College of Technology,Sikkanampatty Opposite to Airport Omalur Taluk Salem District-636309
145,2346,Shree Sathyam College of Engineering and Technology,Manjakkal Patti Kuppanur Post Sankari Taluk Salem District-637301
146,2347,A V S College of Technology,Attur Main Road Near AVS College of Arts & Science Chinnagoundapuram Salem-636106
147,2349,Dhaanish Ahmed Institute of Technology,Pitchanur Village Coimbatore-641018
148,2350,Jairupaa College of Engineering,Thottiapalayam Kathankanni-Po Kangayam-Tk Tiruppur-641604
149,2354,Pollachi Institute of Engineering and Technology,107/1 Poosaripatti Village Pollachi to Dharapuram road Poosaripatti (post) Pollachi Coimbatore-642205
150,2356,Arulmurugan College of Engineering,Karvazhi Road Thennilai Aravakurichy Taluk Karur-639206
151,2357,V.S.B. College of Engineering Technical Campus (Autonomous),S.F. No.91/2A Solavampalayam Village Kinathukadavu Pollachi Taluk Coimbatore District-642109
152,2360,Suguna College of Engineering,Nehru Nagar (West) Kalapatti Road Civil Aerodrome (Post) Coimbatore-641014
153,2367,Arjun College of Technology,310/1B Chettiyakkapalayam Kinathukadavu Coimbatore-642120
154,2368,Vishnu Lakshmi College of Engineering and Technology,10/1 Kambar Street Kanjikonampalayam Vellalore(PO) Coimbatore-641111
155,2369,Government College of Engineering,Chettikkarai Post Dharmapuri District 635704
156,2377,PSG Institute of Technology and Applied Research,Avinashi Road Neelambur Sulur Coimbatore-641062
157,2378,Cheran College of Technology,Cheran Nagar Thittuparai Kangeyam Tiruppur-638701
158,2601,Adhiyamaan College of Engineering (Autonomous),Aeri Campus Dr.M.G.R.Nagar Hosur Krishnagiri District-635109
159,2602,Annai Mathammal Sheela Engineering College,Erumapatty Post Namakkal-637013
160,2603,Government College of Engineering (Autonomous),Bargur Krishnagiri District 635104
161,2607,K S Rangasamy College of Technology (Autonomous),K.S.R Kalvi Nagar Thokkavadi Tiruchengode Tk Namakkal-637215
162,2608,M.Kumarasamy College of Engineering (Autonomous),Thalavapalayam Post Punjai Thottakkurichi Village Karur Tk Karur-639113
163,2609,Mahendra Engineering College (Autonomous),Mahendhirapuri Mallasamudram West Vadugapalayam Post Tiruchengodu Taluk Namakkal District-637503
164,2610,Muthayammal Engineering College (Autonomous),Kakkaveri Rasipuram (Tk) Namakkal District-637408
165,2611,Paavai Engineering College (Autonomous),NH-7 Paavai Nagar Pachal Namakkal-637018
166,2612,PGP College of Engineering and Technology,Namakkal-Paramathi NH 7 Road Namakkal-637207
167,2613,K S R College of Engineering (Autonomous),K S R Kalvi Nagar Thokkavadi Tiruchengode Namakkal Dist-637215
168,2614,SSM College of Engineering,NH-47 Salem Main Road Komarapalayam Namakkal District-638183
169,2615,Government College of Engineering (Autonomous),Karuppur Salem District 636011
170,2616,Sapthagiri College of Engineering,NH-7 Krishnagiri Main Road Palacode Taluk Periyanahalli Village & Post Dharmapuri District-635205
171,2617,Sengunthar Engineering College (Autonomous),Kosavampalayam Kumaramangalam (Post) Tiruchengode (Taluk) Namakkal District-637205
172,2618,Sona College of Technology (Autonomous),Sona Nagar Thiagarajar Polytechnic College Road Suramangalam (P.O) Salem District-636005
173,2620,Vivekanandha College of Engineering for Women (Autonomous),Sathiyanaickenpalayam Village Elayampalayam Tiruchengode Namakkal District-637205
174,2621,Er. Perumal Manimekalai College of Engineering (Autonomous),17th Km Hosur-Krishnagiri NH7 Nallaganakothapalli Near Koneripalli Hosur Taluk Krishnagiri District-635117
175,2622,V S B Engineering College (Autonomous),N.H.67 Covai Road Karudayampalayam (Village & Post) Aravakurichi (TK) Karur-639111
176,2623,Mahendra College of Engineering,12th KM Attur Main Road Minnampalli Salem-636106
177,2624,Gnanamani College of Technology (Autonomous),NH-7 A.K. Samuthiram Pachal Post Namakkal District-637018
178,2625,The Kavery Engineering College,M. Kalipatti Mecheri (Post) Mettur Taluk Salem District-636453
179,2627,Selvam College of Technology (Autonomous),Salem Road NH-7 Pappinaickenpatti (Post) Ponnusamy Nagar Namakkal (Tk & Dt)-637003
180,2628,Paavai College of Engineering,Paavai Nagar NH-7 Pachal Namakkal-637018
181,2630,Chettinad College of Engineering and Technology,NH-67 Karur to Trichy Highways Puliyur CF Karur-639114
182,2632,Mahendra Institute of Technology (Autonomous),Mahendhirapuri Mallasamudram West Vadugapalayam Post Tiruchengodu Taluk Namakkal District-637503
183,2633,Vidyaa Vikas College of Engineering and Technology,Varahoorampatti Village Tiruchengode Taluk Namakkal-637214
184,2634,Excel Engineering College (Autonomous),NH-47 Salem Main Road Sankari West Post Tiruchengode Taluk Pallakapalayam Namakkal District-637303
185,2635,CMS College of Engineering,CMS Nagar Eranapuram Post Namakkal-637003
186,2636,AVS Engineering College,Military Road Ammapet Salem-636003
187,2638,Mahendra Engineering College for Women,Komaramanagalam Post Tiruchengode Taluk Namakkal District-637205
188,2639,R P Sarathy Institute of Technology,Poosaripatty(PO) Omalur Taluk Salem-636305
189,2640,Jayalakshmi Institute of Technology,Thoppur Dharmapuri District-636352
190,2641,Varuvan Vadivelan Institute of Technology,NH 7 Krishnagiri Main Road Gundalapatty Dharmapuri-636703
191,2642,P.S.V.College of Engineering and Technology,Mittapalli Balinayanapalli Post Krishnagiri-635108
192,2643,Bharathiyar Institute of Engineering for Women,43/3 Deviyakurichi Attur Taluk Salem District-636112
193,2646,Tagore Institute of Engineering and Technology,Salem-Chennai Bye Pass Road Deviyakurichi (Po) Attur (Tk) Salem (Dt)-636112
194,2647,J.K.K.Nataraja College of Engineering and Technology,Sf No. 147/1 Komarapalayam Amani Thattankuttai Panchayat Tiruchengode Namakkal-638183
195,2648,Annapoorana Engineering College (Autonomous),Sankari Main Road (NH-47) Periyaseeragapadi Salem-636308
196,2650,Christ The King Engineering College,Cecilia Gardens Chikkarampalayam Village Karamadai Coimbatore-641104
197,2651,Jai Shriram Engineering College,Dharapuram Road Tirupur-638660
198,2652,AL-Ameen Engineering College (Autonomous),Karundevanpalayam Nanjai Uthukkuli Post Erode District-638104
199,2653,Knowledge Institute of Technology (Autonomous),KIOT Campus Kakapalayam (PO) Salem-637504
200,2656,Builders Engineering College (Autonomous),EBET Knowledge Park Erode Road Nathakadaiyur Kangeyam Tiruppur-638108
201,2658,V S A Group of Institutions,NH-47 Main Road Uthamasolapuram Post Salem-636010
202,2659,Salem College of Engineering and Technology,NH-68 Salem-Attur Main Road Mettupatty Perumapalayam Salem-636111
203,2673,Sree Sakthi Engineering College (Autonomous),899/1 & 898/2 Bettathapuram Bilichi Village Karamadai Coimbatore-641104
204,2683,Shreenivasa Engineering College,B.Pallipatti Bommidi Pappireddipatti Taluk Dharmapuri District-635301
